series_id,week_start,cat_id,store_id,lead_bucket,demand,xgb_forecast,xgb_bias_corrected,lift_p50_forecast,lift_p90_forecast,driver_summary
CA_3__FOODS_3_090,2016-02-20,FOODS,CA_3,57-98,798,53.11092758178711,61.19686966006468,58.953129615783695,90.28857688903808,recent demand acceleration; long lead bucket 57-98
CA_3__FOODS_3_090,2016-02-27,FOODS,CA_3,57-98,774,60.396480560302734,69.5916211044098,67.04009342193604,102.67401695251465,SNAP-heavy week; recent demand acceleration; long lead bucket 57-98
CA_3__FOODS_3_090,2016-02-13,FOODS,CA_3,57-98,755,43.936737060546875,50.8160217516313,47.451676025390626,73.81371826171875,event week demand pressure; recent demand acceleration; long lead bucket 57-98
WI_3__FOODS_3_090,2016-02-13,FOODS,WI_3,29-56,678,4.140953063964844,5.237129653634067,4.140953063964844,4.140953063964844,event week demand pressure; recent demand acceleration
WI_3__FOODS_3_090,2016-02-27,FOODS,WI_3,29-56,608,32.24971389770508,39.74572842834197,32.24971389770508,32.24971389770508,recent demand acceleration
WI_3__FOODS_3_090,2016-02-20,FOODS,WI_3,29-56,586,33.396705627441406,41.15932304019676,33.396705627441406,33.396705627441406,recent demand acceleration
CA_3__FOODS_3_120,2016-02-27,FOODS,CA_3,57-98,0,469.8475341796875,541.3800816229242,521.5307629394532,798.7408081054688,SNAP-heavy week; long lead bucket 57-98
WI_3__FOODS_3_090,2016-01-09,FOODS,WI_3,29-56,598,912.7189331054688,1124.8682379534991,912.7189331054688,912.7189331054688,SNAP-heavy week; recent demand deceleration
CA_3__FOODS_3_090,2016-04-23,FOODS,CA_3,57-98,269,667.15673828125,768.7288815010701,740.5439794921875,1134.166455078125,long lead bucket 57-98
TX_1__FOODS_3_090,2016-02-13,FOODS,TX_1,29-56,503,4.049759864807129,4.609644913739045,4.049759864807129,4.049759864807129,event week demand pressure; recent demand acceleration
WI_3__FOODS_3_090,2016-04-23,FOODS,WI_3,29-56,262,593.1470947265625,731.0162012550322,593.1470947265625,593.1470947265625,lagged demand and normal seasonality
TX_2__FOODS_3_586,2016-04-23,FOODS,TX_2,29-56,175,566.6998291015625,635.3531326115705,566.6998291015625,566.6998291015625,lagged demand and normal seasonality
TX_3__FOODS_3_090,2016-02-20,FOODS,TX_3,29-56,465,28.054428100585938,31.272549424459168,28.054428100585938,28.054428100585938,recent demand acceleration
TX_3__FOODS_3_090,2016-02-13,FOODS,TX_3,29-56,433,5.65023136138916,6.678949121234091,5.65023136138916,5.65023136138916,event week demand pressure; recent demand acceleration
TX_3__FOODS_3_090,2016-02-27,FOODS,TX_3,29-56,469,42.272705078125,47.121803877856976,42.272705078125,42.272705078125,recent demand acceleration
WI_2__FOODS_3_498,2016-02-13,FOODS,WI_2,29-56,414,8.144977569580078,10.349547889365878,8.144977569580078,8.144977569580078,event week demand pressure; recent demand deceleration
WI_2__FOODS_2_360,2016-03-05,FOODS,WI_2,29-56,596,149.25851440429688,193.63192671291324,149.25851440429688,149.25851440429688,SNAP-heavy week; recent demand acceleration; recent stockout-risk proxy
TX_2__FOODS_3_090,2016-02-20,FOODS,TX_2,29-56,432,28.054428100585938,31.453104204375702,28.054428100585938,28.054428100585938,recent demand acceleration
TX_2__FOODS_3_090,2016-02-13,FOODS,TX_2,29-56,405,4.726004600524902,5.531779070597056,4.726004600524902,4.726004600524902,event week demand pressure; recent demand acceleration
TX_2__FOODS_3_090,2016-02-27,FOODS,TX_2,29-56,441,37.851348876953125,42.43688077455838,37.851348876953125,37.851348876953125,recent demand acceleration
TX_3__FOODS_3_586,2016-04-23,FOODS,TX_3,29-56,113,437.60723876953125,487.80513200464947,437.60723876953125,437.60723876953125,lagged demand and normal seasonality
TX_1__FOODS_3_090,2016-02-27,FOODS,TX_1,29-56,379,30.77021598815918,33.874537530885156,30.77021598815918,30.77021598815918,recent demand acceleration
TX_3__FOODS_3_090,2016-04-23,FOODS,TX_3,29-56,168,454.3546447753906,506.4736316857669,454.3546447753906,454.3546447753906,lagged demand and normal seasonality
CA_1__FOODS_3_090,2016-02-27,FOODS,CA_1,29-56,402,61.50957107543945,65.43104442812061,61.50957107543945,61.50957107543945,SNAP-heavy week; recent demand acceleration
CA_3__FOODS_3_681,2016-02-20,FOODS,CA_3,29-56,387,52.0487174987793,57.35607495169242,52.0487174987793,52.0487174987793,recent demand acceleration
CA_3__FOODS_3_586,2016-04-23,FOODS,CA_3,29-56,152,432.62237548828125,476.73646127528565,432.62237548828125,432.62237548828125,lagged demand and normal seasonality
CA_1__FOODS_3_090,2016-02-20,FOODS,CA_1,29-56,380,53.59339904785156,57.01018577829384,53.59339904785156,53.59339904785156,recent demand acceleration
WI_2__FOODS_3_070,2016-03-05,FOODS,WI_2,57-98,437,90.70991516113281,116.02415357305055,100.68800582885743,154.20685577392578,SNAP-heavy week; long lead bucket 57-98
WI_3__FOODS_3_120,2016-02-27,FOODS,WI_3,29-56,0,259.9833068847656,320.4129482860159,259.9833068847656,259.9833068847656,lagged demand and normal seasonality
WI_2__FOODS_3_070,2016-03-12,FOODS,WI_2,57-98,447,104.21098327636719,127.56503013228193,112.54786193847657,175.07445190429686,event week demand pressure; SNAP-heavy week; long lead bucket 57-98
